evt_block_time,evt_tx_hash,contract_address,collection_address,borrower,lender,loanAmountArrange,interestRate,auctionDuration,tokenId
2023-05-07 14:04:47.000 UTC,0xb402d3bc0ec26304a30b6ec1cbdc5210f3cdd1a1b7c25d0aa4a9ccfbda19cfea,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0x2850edb9e103f197e498ed32bb3546a1259b5ee7,0x8bc110db7029197c3621bea8092ab1996d5dd7be,8.38,0,9000,1916
2023-05-07 14:18:35.000 UTC,0x76412e9d52e35f9affb3a827b4f0a20e2cd247873c69131905549af86c1bbcf9,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0x97c7d94d01bcbc41b80ef7cc8c5bebc3d11c6a20,0x4825f5da5270347ab4ea536bc0fc9c844cbd13a0,12.88,0,9000,7073
2023-05-07 14:18:59.000 UTC,0x12d11aef214b65de895f7c0ccd68eeabeaf88ac6542756b8c4110e5a82de01a5,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0x97c7d94d01bcbc41b80ef7cc8c5bebc3d11c6a20,0x4825f5da5270347ab4ea536bc0fc9c844cbd13a0,12.88,0,9000,9953
2023-05-07 14:18:59.000 UTC,0xe9b9b37fe21ec0e1cf9fea60282419d507bd37355fe134655abf920654f82ade,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0x97c7d94d01bcbc41b80ef7cc8c5bebc3d11c6a20,0x4825f5da5270347ab4ea536bc0fc9c844cbd13a0,12.88,0,9000,9442
2023-05-07 14:19:59.000 UTC,0x0110599e87642906526430808390b7ed625fca0821e65b324c9df4eed40e0bc8,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0x97c7d94d01bcbc41b80ef7cc8c5bebc3d11c6a20,0x51ae51ea0cea748c6dce1bebc50de352345fc822,12.88,0,9000,8922
2023-05-07 14:19:59.000 UTC,0xa5754a9525d96753107af5c8348a618547ad5595c11a024489c10a4256611f10,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0x97c7d94d01bcbc41b80ef7cc8c5bebc3d11c6a20,0x51ae51ea0cea748c6dce1bebc50de352345fc822,12.88,0,9000,7624
2023-05-07 14:20:35.000 UTC,0xa039d933f956a7a73d77c9b54781092d8a822e9341bf231be669b7c36b8c2ba8,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0x97c7d94d01bcbc41b80ef7cc8c5bebc3d11c6a20,0x8bc110db7029197c3621bea8092ab1996d5dd7be,12.88,0,9000,5129
2023-05-07 14:20:59.000 UTC,0xde8ebc43517d94439a74cd52e735c6cdc30e68dd5ac6165beb2099f85a960e4b,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0x97c7d94d01bcbc41b80ef7cc8c5bebc3d11c6a20,0x8bc110db7029197c3621bea8092ab1996d5dd7be,12.88,0,9000,3920
2023-05-07 14:21:23.000 UTC,0xe5f03f1bf235b65b6a0661551f525d4f6a845d001d697a39fb8642f3243d83bc,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0x97c7d94d01bcbc41b80ef7cc8c5bebc3d11c6a20,0xbccf9025a0e2f6aad7e18972d754aaca38a4f847,12.88,0,9000,9244
2023-05-07 14:22:11.000 UTC,0x4ebeaf4442087b2bb6f793c38fd368f8f79159521d6fb667da2df336a0e15bef,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0x97c7d94d01bcbc41b80ef7cc8c5bebc3d11c6a20,0xbccf9025a0e2f6aad7e18972d754aaca38a4f847,12.88,0,9000,5770
